"","Module","Symbol","X0rder","Function","Module_gene"
"141","M4.13","CD58",2154,"M4.13.Inflammation","M4.13_CD58"
"142","M4.13","IL1B",2173,"M4.13.Inflammation","M4.13_IL1B"
"143","M4.13","NCF4",2175,"M4.13.Inflammation","M4.13_NCF4"
"144","M4.13","TNFRSF10C",2179,"M4.13.Inflammation","M4.13_TNFRSF10C"
"145","M4.13","TNFRSF1A",2181,"M4.13.Inflammation","M4.13_TNFRSF1A"
"146","M4.13","IL13RA1",2186,"M4.13.Inflammation","M4.13_IL13RA1"
"147","M4.13","LAMP2",2189,"M4.13.Inflammation","M4.13_LAMP2"
"148","M4.14","CSF1R",2198,"M4.14.Monocytes","M4.14_CSF1R"
"149","M4.14","CYBB",2208,"M4.14.Monocytes","M4.14_CYBB"
"150","M4.14","CD36",2210,"M4.14.Monocytes","M4.14_CD36"
"151","M4.14","LY86",2214,"M4.14.Monocytes","M4.14_LY86"
"152","M4.14","CD33",2219,"M4.14.Monocytes","M4.14_CD33"
"153","M4.14","LILRB1",2242,"M4.14.Monocytes","M4.14_LILRB1"
"154","M4.14","CD86",2243,"M4.14.Monocytes","M4.14_CD86"
"155","M4.14","CD1D",2244,"M4.14.Monocytes","M4.14_CD1D"
"156","M4.14","CARD9",2247,"M4.14.Monocytes","M4.14_CARD9"
"157","M4.15","LCK",2255,"M4.15.T cells","M4.15_LCK"
"158","M4.15","CD5",2258,"M4.15.T cells","M4.15_CD5"
"159","M4.15","CD247",2259,"M4.15.T cells","M4.15_CD247"
"160","M4.15","SIGIRR",2266,"M4.15.T cells","M4.15_SIGIRR"
"161","M4.15","ZAP70",2267,"M4.15.T cells","M4.15_ZAP70"
"162","M4.15","GZMK",2272,"M4.15.T cells","M4.15_GZMK"
"163","M4.15","CD7",2274,"M4.15.T cells","M4.15_CD7"
"164","M4.15","CD27",2275,"M4.15.T cells","M4.15_CD27"
"165","M4.15","ITK",2278,"M4.15.T cells","M4.15_ITK"
"166","M4.15","SH2D1A",2289,"M4.15.T cells","M4.15_SH2D1A"
