"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-11-013 C2D15",3.29947276394937,5.33781458958999,6.55716797453447,3.06756518695428,3.10742572553851,6.75792019874104,4.0540178587885,4.50601311460963,6.49025013695525,6.25519219013006,0.897640185511972
"107-11-013 C3D01",3.16692575474019,4.58930046857279,5.65943616292019,4.1795865913937,3.11772894916031,6.54642464804492,2.78794469722681,4.01799827085139,6.12897878462183,4.34005126358695,3.55155536878066
"107-11-013 C4D01",3.58300198988623,5.57116425462695,6.7446776091113,1.55629058292993,2.88962391626326,6.74042578245524,3.468612447652,5.44624143758833,6.34975284899713,5.55629058292993,2.29325617709614
"107-11-013 FUW04",4.57023315060117,4.39151010593677,6.03239042082761,1.03438734710371,3.69348065493702,6.35057059618562,3.4750300453995,4.61934984782487,5.97090231003404,5.12185018835405,3.61934984782487
"107-11-015 C1D01",3.58380847070146,3.44565634881411,5.11684012302611,2.73813759917469,2.49209173278313,7.61389798920897,2.11133147109225,2.94565634881411,5.41042049643696,4.81614011117596,2.73813759917469
"107-11-015 C1D15",3.0619404349739,3.93379223279852,5.77202126053408,3.14131098243795,3.15880012240266,8.0503458666563,3.02259637902952,4.85117405497418,4.60916654906778,4.87827657660415,2.7262734831591
"107-11-015 CID-7",4.04607310755798,4.46410260332248,5.8958681686329,1.38922904357014,3.72284059406307,6.77872451464321,3.11253737738424,4.32235334912572,6.47384625685884,5.80426654284898,3.26369816148628
"107-11-015 C1D08",2.38910674118923,2.32235591418004,4.44767840341066,1.75360415230507,1.94472899445372,7.76539659708246,1.89578186501063,3.18557337751706,3.82733547554567,4.51913889866805,1.01663855813887
"107-11-015 C2D01",3.67683816153418,3.78687704078464,5.32476781971191,1.15348377043719,2.6001004380654,7.49005333719561,2.58195117672461,3.81444781788087,4.66540848119269,4.85392348857828,1.15348377043719
"107-11-015 C2D08",2.91959738409055,2.48312688867478,5.33342935666805,0,3.30870362890049,7.95532707070125,1.71784046093485,4.29459206413486,3.59455454955348,4.36163851192851,1.66119879378741
